hierarchy,unit,base_model,horizon,fold,method_a,method_b,n_paired,block_length,n_boot,seed,mean_paired_diff,median_paired_diff,mae_independent,mae_reconciled,relative_mae_diff,ci_low,ci_high,prob_reconciliation_improves,p_value_raw,ci_crosses_zero,effect_class,outcome,correction_family,macro_independent,macro_reconciled,macro_rel,weighted_independent,weighted_reconciled,weighted_rel,worst_independent,worst_reconciled,worst_rel,machines_improved,machines_degraded,coherence_before,coherence_after,tradeoff_class,npz_path,p_value_holm,reject_holm_0.05,family_size,alpha
memory_um,memory_level,persistence,1,0,independent,bottom_up,8276,32,1000,0,0.0,0.0,1294154012.0869985,1294154012.0869985,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,228518221.43809983,228518221.43809983,0.0,188043701.38596216,188043701.38596216,0.0,428567797.97776705,428567797.97776705,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,0,independent,wls,8276,32,1000,0,-0.00043999739693466046,-0.040283203125,1294154012.0869985,1294154012.0865586,-3.3989948208174475e-13,-0.0010891931883202134,0.00028622859108557477,0.901,0.198,True,accuracy_neutral,tie,memory_persistence,228518221.43809983,228518221.43881926,3.148230622098732e-12,188043701.38596216,188043701.38668662,3.852639836287375e-12,428567797.97776705,428567797.97780174,8.094379331103398e-14,3,4,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,0,independent,mint,8276,32,1000,0,0.002084655540469996,0.18927001953125,1294154012.0869985,1294154012.0890834,1.6110682768590015e-12,-0.0013243244718733245,0.005130124633700562,0.094,0.188,True,accuracy_neutral,loss,memory_persistence,228518221.43809983,228518221.43409243,-1.7536453141306052e-11,188043701.38596216,188043701.3819331,-2.1426218165584726e-11,428567797.97776705,428567797.97819114,9.895448271615237e-13,5,2,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,1,independent,bottom_up,8276,32,1000,0,0.0,0.0,843922661.6452392,843922661.6452392,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,157294732.34661326,157294732.34661326,0.0,132700380.39602873,132700380.39602873,0.0,271525107.0082165,271525107.0082165,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,1,independent,wls,8276,32,1000,0,0.0001932128493252326,0.05033111572265625,843922661.6452392,843922661.6454324,2.288350080513033e-13,-0.0006611099906910324,0.0009889188280654102,0.342,0.684,True,accuracy_neutral,tie,memory_persistence,157294732.34661326,157294732.34648773,-7.980393241673323e-13,132700380.39602873,132700380.39586422,-1.2397011906757226e-12,271525107.0082165,271525107.0050003,-1.1844971033702524e-11,5,2,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,1,independent,mint,8276,32,1000,0,-0.0004821840030896946,-0.20101165771484375,843922661.6452392,843922661.6447572,-5.712399830614015e-13,-0.0035454729779899378,0.002780020046833344,0.597,0.806,True,accuracy_neutral,tie,memory_persistence,157294732.34661326,157294732.34227806,-2.7560966355650755e-11,132700380.39602873,132700380.39180155,-3.1855042886963735e-11,271525107.0082165,271525107.0005922,-2.8079643243500778e-11,2,5,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f1__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,2,independent,bottom_up,8279,32,1000,0,0.0,0.0,1042314122.8689455,1042314122.8689455,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,190911648.209273,190911648.209273,0.0,160405437.3513672,160405437.3513672,0.0,451439811.7956275,451439811.7956275,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,1,2,independent,wls,8279,32,1000,0,-0.0011784285936886625,-0.055877685546875,1042314122.8689455,1042314122.8677671,-1.1305457744024406e-12,-0.00210166126651628,-0.00027592863231944164,0.998,0.004,False,accuracy_neutral,win,memory_persistence,190911648.209273,190911648.21055382,6.708937989220971e-12,160405437.3513672,160405437.35271966,8.431504658495128e-12,451439811.7956275,451439811.79641336,1.7408461124365932e-12,1,6,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__persistence__s0.npz,0.10400000000000001,False,27.0,0.05
memory_um,memory_level,persistence,1,2,independent,mint,8279,32,1000,0,0.003799646743643556,0.188385009765625,1042314122.8689455,1042314122.8727453,3.6455383468970966e-12,0.000768707483657706,0.006917966899556201,0.002,0.004,False,accuracy_neutral,loss,memory_persistence,190911648.209273,190911648.20569998,-1.8715621948151137e-11,160405437.3513672,160405437.34771335,-2.2778867051089182e-11,451439811.7956275,451439811.782914,-2.8162097326081763e-11,3,4,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f2__h1__persistence__s0.npz,0.10400000000000001,False,27.0,0.05
memory_um,memory_level,persistence,8,0,independent,bottom_up,8269,32,1000,0,0.0,0.0,1291570370.298706,1291570370.298706,0.0,0.0,0.0,0.0,1.0,True,accuracy_neutral,tie,memory_persistence,228173977.45051223,228173977.45051223,0.0,187733491.3794842,187733491.3794842,0.0,427958992.2302576,427958992.2302576,0.0,0,0,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,8,0,independent,wls,8269,32,1000,0,-0.0003909527253522191,-0.03228759765625,1291570370.298706,1291570370.298315,-3.0273725591593824e-13,-0.000946560498808615,0.0001227135842217544,0.93,0.14,True,accuracy_neutral,tie,memory_persistence,228173977.45051223,228173977.45110172,2.5835108079161457e-12,187733491.3794842,187733491.38009408,3.248619736736249e-12,427958992.2302576,427958992.2302296,-6.532069405523232e-14,2,5,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,1.0,False,27.0,0.05
memory_um,memory_level,persistence,8,0,independent,mint,8269,32,1000,0,-0.00030440075507921153,-0.0261993408203125,1291570370.298706,1291570370.2984016,-2.3572894866137387e-13,-0.000752015090187655,0.00011021079744908032,0.922,0.156,True,accuracy_neutral,tie,memory_persistence,228173977.45051223,228173977.45096022,1.9633637241959303e-12,187733491.3794842,187733491.37995985,2.5336185984319065e-12,427958992.2302576,427958992.2301779,-1.8621272484402052e-13,4,3,0.0,0.0,coherence_only,/Users/fgtek002/TimeTrack/results/final/packs/01_memory_classical/metrics/predictions/base__memory_um__f0__h8__persistence__s0.npz,1.0,False,27.0,0.05
